id,en,pl,fr,ru,de,ita,es,fi,ms
SYSTEM_NEW_GAME,Begin,Rozpocznij,Commencer,Начать игру,Neues Spiel,Inizia,Empezar,Aloita,Mulakan
SYSTEM_CONTINUE,Continue,Kontynuuj,Continuer,Продолжить,Fortsetzen,Continua,Continuar,Jatka,Teruskan
SYSTEM_LOAD,Load,Wczytaj grę,Charger,Загрузить,Laden,Carica,Cargar,Lataa,Muat
SYSTEM_SAVE,Save,Zapisz grę,Sauvegarder,Сохранить,Speichern,Salva,Guardar,Tallenna,Simpan
SYSTEM_OPTIONS,Options,Ustawienia,Options,Настройки,Optionen,Opzioni,Opciones,Asetukset,Pilihan
SYSTEM_EXTRAS,Extras,Dodatki,Extras,Дополнительно,Extras,Extra,Extras,Extrat,Tambahan
SYSTEM_CREDITS,Credits,Autorzy,Crédits,Авторы,Credits,Crediti,Créditos,Kiitokset,Penghargaan
SYSTEM_QUIT,Quit,Wyjdź,Quitter,Выйти,Beenden,Esci,Salir,Lopeta,Tutup
SYSTEM_LOADING,Loading,Wczytywanie,Chargement,Загрузка,Ladevorgang,Caricamento,Cargando,Ladataan,Sedang Memuat
SYSTEM_YES,Yes,Tak,Oui,Да,Ja,Si,Si,Kyllä,Ya
SYSTEM_NO,No,Nie,Non,Нет,Nein,No,No,Ei,Tidak
SYSTEM_OKAY,Okay,OK,OK,Хорошо,Okay,Ok,Ok,Ok,Baik
SYSTEM_CANCEL,Cancel,Anuluj,Annuler,Отменить,Abbrechen,Annulla,Cancelar,Peruuta,Batal
SYSTEM_CONTINUE,Continue,Kontynuuj,Continuer,Продолжить,Fortsetzen,Continua,Continuar,Jatka,Teruskan
SYSTEM_SKIP,Skip,Pomiń,Passer,Пропустить,Überspringen,Salta,Saltar,Ohita,Langkau
SYSTEM_LOG,Log,Historia,Log,Журнал,Journal,Storico,Registro,Historia,Catatan
SYSTEM_AUTOREAD,Autoread,Automatyczne przewijanie,Lecture automatique,Автопрокрутка,Autolesen,Autolettura,Lectura automática,Automaattiluku,Baca kendiri
SYSTEM_USE,Use,Użyj,Utiliser,Использовать,Benutzen,Usa,Usar,Käytä,Gunakan
SYSTEM_QUITMESSAGE,Are you sure you want to quit?,Czy na pewno chcesz zakończyć grę?,Es-tu sur de vouloir quitter?,что хотите выйти?,Bist du sicher dass du das Spiel Beenden willst?,Sei sicuro di voler uscire?,¿Está seguro que desea salir?,Haluatko lopettaa?
SYSTEM_CONFIRM,Confirm,Potwierdź,Confirmer,Подтвердить,Bestätigen,Conferma,Confirmar,Vahvista,Pastikah anda mahu keluar?
,,,,,,,,
STAT_FIRST_NAME,First Name,Imię,Prénom,Имя,Vorname,Nome,Nombre,Etunimi,Nama Berian
